"filename", "language", "JSON", "Markdown", "Batch", "XML", "Java", "Properties", "YAML", "TypeScript", "JSON with Comments", "vue", "CSS", "HTML", "comment", "blank", "total"
"d:\基于web的项目管理系统\Psm\psmback\psmback-common\src\main\java\com\zz\psmback\common\filter\JwtAuthenticationTokenFilter.java", "Java", 0, 0, 0, 0, 42, 0, 0, 0, 0, 0, 0, 0, 5, 5, 52
"d:\基于web的项目管理系统\Psm\psmback\psmback-common\src\main\java\com\zz\psmback\common\result\CommonResult.java", "Java", 0, 0, 0, 0, 26, 0, 0, 0, 0, 0, 0, 0, 23, 4, 53
"d:\基于web的项目管理系统\Psm\psmback\psmback-common\src\main\java\com\zz\psmback\common\result\ResponseCode.java", "Java", 0, 0, 0, 0, 29, 0, 0, 0, 0, 0, 0, 0, 6, 4, 39
"d:\基于web的项目管理系统\Psm\psmback\psmback-common\src\main\java\com\zz\psmback\common\utils\FastJsonRedisSerializer.java", "Java", 0, 0, 0, 0, 44, 0, 0, 0, 0, 0, 0, 0, 36, 15, 95
"d:\基于web的项目管理系统\Psm\psmback\psmback-common\src\main\java\com\zz\psmback\common\utils\JwtUtils.java", "Java", 0, 0, 0, 0, 32, 0, 0, 0, 0, 0, 0, 0, 3, 3, 38
"d:\基于web的项目管理系统\Psm\psmback\psmback-common\src\main\java\com\zz\psmback\common\utils\RedisUtils.java", "Java", 0, 0, 0, 0, 70, 0, 0, 0, 0, 0, 0, 0, 21, 6, 97
"d:\基于web的项目管理系统\Psm\psmback\psmback-dao\pom.xml", "XML", 0, 0, 0, 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 24
"d:\基于web的项目管理系统\Psm\psmback\psmback-dao\src\main\java\com\zz\psmback\dao\ProjectDao.java", "Java", 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 4, 13
"d:\基于web的项目管理系统\Psm\psmback\psmback-dao\src\main\java\com\zz\psmback\dao\TaskDao.java", "Java", 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 3, 10
"d:\基于web的项目管理系统\Psm\psmback\psmback-dao\src\main\java\com\zz\psmback\dao\TeamDao.java", "Java", 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 3, 10
"d:\基于web的项目管理系统\Psm\psmback\psmback-dao\src\main\java\com\zz\psmback\dao\UserDao.java", "Java", 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 4, 12
"d:\基于web的项目管理系统\Psm\psmback\psmback-service\pom.xml", "XML", 0, 0, 0, 31, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 35
"d:\基于web的项目管理系统\Psm\psmback\psmback-service\src\main\java\com\zz\psmback\service\LoginService.java", "Java", 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 4, 13
"d:\基于web的项目管理系统\Psm\psmback\psmback-service\src\main\java\com\zz\psmback\service\ProjectService.java", "Java", 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 3, 11
"d:\基于web的项目管理系统\Psm\psmback\psmback-service\src\main\java\com\zz\psmback\service\UserService.java", "Java", 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 5, 17
"d:\基于web的项目管理系统\Psm\psmback\psmback-service\src\main\java\com\zz\psmback\service\impl\LoginServiceImpl.java", "Java", 0, 0, 0, 0, 95, 0, 0, 0, 0, 0, 0, 0, 10, 6, 111
"d:\基于web的项目管理系统\Psm\psmback\psmback-service\src\main\java\com\zz\psmback\service\impl\ProjectServiceImpl.java", "Java", 0, 0, 0, 0, 72, 0, 0, 0, 0, 0, 0, 0, 5, 5, 82
"d:\基于web的项目管理系统\Psm\psmback\psmback-service\src\main\java\com\zz\psmback\service\impl\UserDetailsServiceImpl.java", "Java", 0, 0, 0, 0, 31, 0, 0, 0, 0, 0, 0, 0, 0, 5, 36
"d:\基于web的项目管理系统\Psm\psmback\psmback-service\src\main\java\com\zz\psmback\service\impl\UserServiceImpl.java", "Java", 0, 0, 0, 0, 78, 0, 0, 0, 0, 0, 0, 0, 0, 8, 86
"d:\基于web的项目管理系统\Psm\psmback\psmback-service\src\test\java\Atest.java", "Java", 0, 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 5, 18
"d:\基于web的项目管理系统\Psm\psmback\psmback-web\.mvn\wrapper\maven-wrapper.properties", "Properties", 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 1, 3
"d:\基于web的项目管理系统\Psm\psmback\psmback-web\mvnw.cmd", "Batch", 0, 0, 118, 0, 0, 0, 0, 0, 0, 0, 0, 0, 51, 37, 206
"d:\基于web的项目管理系统\Psm\psmback\psmback-web\pom.xml", "XML", 0, 0, 0, 47, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 48
"d:\基于web的项目管理系统\Psm\psmback\psmback-web\src\main\java\com\zz\psmback\web\PsmbackWebApplication.java", "Java", 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 4, 16
"d:\基于web的项目管理系统\Psm\psmback\psmback-web\src\main\java\com\zz\psmback\web\controller\LoginController.java", "Java", 0, 0, 0, 0, 28, 0, 0, 0, 0, 0, 0, 0, 0, 4, 32
"d:\基于web的项目管理系统\Psm\psmback\psmback-web\src\main\java\com\zz\psmback\web\controller\ProjectController.java", "Java", 0, 0, 0, 0, 21, 0, 0, 0, 0, 0, 0, 0, 0, 3, 24
"d:\基于web的项目管理系统\Psm\psmback\psmback-web\src\main\java\com\zz\psmback\web\controller\UserController.java", "Java", 0, 0, 0, 0, 36, 0, 0, 0, 0, 0, 0, 0, 0, 3, 39
"d:\基于web的项目管理系统\Psm\psmback\psmback-web\src\main\resources\application.yaml", "YAML", 0, 0, 0, 0, 0, 0, 26, 0, 0, 0, 0, 0, 1, 11, 38
"d:\基于web的项目管理系统\Psm\psmback\psmback-web\src\main\resources\mapper\ProjectMapper.xml", "XML", 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 14
"d:\基于web的项目管理系统\Psm\psmback\psmback-web\src\main\resources\mapper\TaskMapper.xml", "XML", 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 7
"d:\基于web的项目管理系统\Psm\psmback\psmback-web\src\main\resources\mapper\TeamMapper.xml", "XML", 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 7
"d:\基于web的项目管理系统\Psm\psmback\psmback-web\src\main\resources\mapper\UserMapper.xml", "XML", 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 7
"d:\基于web的项目管理系统\Psm\psmback\psmback-web\src\test\java\com\zz\psmback\web\PsmbackWebApplicationTests.java", "Java", 0, 0, 0, 0, 42, 0, 0, 0, 0, 0, 0, 0, 27, 7, 76
"d:\基于web的项目管理系统\Psm\psmfront\README.md", "Markdown", 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 19
"d:\基于web的项目管理系统\Psm\psmfront\index.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 0, 1, 14
"d:\基于web的项目管理系统\Psm\psmfront\package-lock.json", "JSON", 2851, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2852
"d:\基于web的项目管理系统\Psm\psmfront\package.json", "JSON", 30, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 31
"d:\基于web的项目管理系统\Psm\psmfront\public\vite.svg", "XML", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"d:\基于web的项目管理系统\Psm\psmfront\src\App.vue", "vue", 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 4, 11
"d:\基于web的项目管理系统\Psm\psmfront\src\api\login.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 31, 0, 0, 0, 0, 0, 0, 31
"d:\基于web的项目管理系统\Psm\psmfront\src\api\project.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 1, 12
"d:\基于web的项目管理系统\Psm\psmfront\src\api\user.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 37, 0, 0, 0, 0, 1, 2, 40
"d:\基于web的项目管理系统\Psm\psmfront\src\components\details\projectDetails\demand.vue", "vue", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\基于web的项目管理系统\Psm\psmfront\src\components\details\projectDetails\overview.vue", "vue", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\基于web的项目管理系统\Psm\psmfront\src\components\login.vue", "vue", 0, 0, 0, 0, 0, 0, 0, 0, 0, 216, 0, 0, 0, 34, 250
"d:\基于web的项目管理系统\Psm\psmfront\src\components\main-views\home.vue", "vue", 0, 0, 0, 0, 0, 0, 0, 0, 0, 172, 0, 0, 0, 32, 204
"d:\基于web的项目管理系统\Psm\psmfront\src\components\main-views\user.vue", "vue", 0, 0, 0, 0, 0, 0, 0, 0, 0, 185, 0, 0, 0, 16, 201
"d:\基于web的项目管理系统\Psm\psmfront\src\components\pages\file.vue", "vue", 0, 0, 0, 0, 0, 0, 0, 0, 0, 22, 0, 0, 0, 2, 24
"d:\基于web的项目管理系统\Psm\psmfront\src\components\pages\index.vue", "vue", 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 0, 0, 0, 3, 16
"d:\基于web的项目管理系统\Psm\psmfront\src\components\pages\personal.vue", "vue", 0, 0, 0, 0, 0, 0, 0, 0, 0, 314, 0, 0, 0, 33, 347
"d:\基于web的项目管理系统\Psm\psmfront\src\components\pages\project.vue", "vue", 0, 0, 0, 0, 0, 0, 0, 0, 0, 88, 0, 0, 0, 3, 91
"d:\基于web的项目管理系统\Psm\psmfront\src\components\pages\project\create.vue", "vue", 0, 0, 0, 0, 0, 0, 0, 0, 0, 124, 0, 0, 0, 10, 134
"d:\基于web的项目管理系统\Psm\psmfront\src\components\pages\project\details.vue", "vue", 0, 0, 0, 0, 0, 0, 0, 0, 0, 31, 0, 0, 0, 2, 33
"d:\基于web的项目管理系统\Psm\psmfront\src\components\pages\project\showProject.vue", "vue", 0, 0, 0, 0, 0, 0, 0, 0, 0, 91, 0, 0, 0, 9, 100
"d:\基于web的项目管理系统\Psm\psmfront\src\components\pages\task.vue", "vue", 0, 0, 0, 0, 0, 0, 0, 0, 0, 25, 0, 0, 0, 2, 27
"d:\基于web的项目管理系统\Psm\psmfront\src\components\pages\team.vue", "vue", 0, 0, 0, 0, 0, 0, 0, 0, 0, 25, 0, 0, 0, 2, 27
"d:\基于web的项目管理系统\Psm\psmfront\src\components\register.vue", "vue", 0, 0, 0, 0, 0, 0, 0, 0, 0, 157, 0, 0, 0, 19, 176
"d:\基于web的项目管理系统\Psm\psmfront\src\css\index.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 69, 0, 0, 5, 74
"d:\基于web的项目管理系统\Psm\psmfront\src\main.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 14, 0, 0, 0, 0, 1, 3, 18
"d:\基于web的项目管理系统\Psm\psmfront\src\router\index.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 67, 0, 0, 0, 0, 1, 5, 73
"d:\基于web的项目管理系统\Psm\psmfront\src\store\details.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 10
"d:\基于web的项目管理系统\Psm\psmfront\src\store\index.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 1, 6
"d:\基于web的项目管理系统\Psm\psmfront\src\store\project.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 14, 0, 0, 0, 0, 0, 4, 18
"d:\基于web的项目管理系统\Psm\psmfront\src\store\step.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 14, 0, 0, 0, 0, 0, 1, 15
"d:\基于web的项目管理系统\Psm\psmfront\src\store\user.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 28, 0, 0, 0, 0, 0, 3, 31
"d:\基于web的项目管理系统\Psm\psmfront\src\style.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 70, 0, 0, 10, 80
"d:\基于web的项目管理系统\Psm\psmfront\src\utils\event.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 1, 2, 6
"d:\基于web的项目管理系统\Psm\psmfront\src\utils\request.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 73, 0, 0, 0, 0, 19, 6, 98
"d:\基于web的项目管理系统\Psm\psmfront\src\vite-env.d.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 2
"d:\基于web的项目管理系统\Psm\psmfront\tsconfig.json", "JSON with Comments", 0, 0, 0, 0, 0, 0, 0, 0, 40, 0, 0, 0, 7, 1, 48
"d:\基于web的项目管理系统\Psm\psmfront\tsconfig.node.json", "JSON", 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 13
"d:\基于web的项目管理系统\Psm\psmfront\vite.config.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 20, 0, 0, 0, 0, 2, 2, 24
"Total", "-", 2898, 14, 118, 372, 926, 2, 26, 327, 40, 1470, 139, 13, 243, 450, 7038
