"filename", "language", "HTML", "Markdown", "JSON", "TypeScript", "XML", "JSON with Comments", "CSS", "vue", "Java", "YAML", "Properties", "Batch", "comment", "blank", "total"
"d:\基于web的项目管理系统\Psm\psmback\psmback-common\src\main\java\com\zz\psmback\common\utils\psmAnnotation\AuthProject.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 10, 0, 0, 0, 0, 3, 13
"d:\基于web的项目管理系统\Psm\psmback\psmback-common\src\main\java\com\zz\psmback\common\utils\psmAspect\AuthProjectAspect.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 46, 0, 0, 0, 0, 9, 55
"d:\基于web的项目管理系统\Psm\psmback\psmback-dao\pom.xml", "XML", 0, 0, 0, 0, 22, 0, 0, 0, 0, 0, 0, 0, 0, 2, 24
"d:\基于web的项目管理系统\Psm\psmback\psmback-dao\src\main\java\com\zz\psmback\dao\ProjectDao.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 10, 0, 0, 0, 0, 4, 14
"d:\基于web的项目管理系统\Psm\psmback\psmback-dao\src\main\java\com\zz\psmback\dao\TaskDao.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 11, 0, 0, 0, 0, 4, 15
"d:\基于web的项目管理系统\Psm\psmback\psmback-dao\src\main\java\com\zz\psmback\dao\TeamDao.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 3, 10
"d:\基于web的项目管理系统\Psm\psmback\psmback-dao\src\main\java\com\zz\psmback\dao\UserDao.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 14, 0, 0, 0, 0, 4, 18
"d:\基于web的项目管理系统\Psm\psmback\psmback-service\pom.xml", "XML", 0, 0, 0, 0, 31, 0, 0, 0, 0, 0, 0, 0, 0, 4, 35
"d:\基于web的项目管理系统\Psm\psmback\psmback-service\src\main\java\com\zz\psmback\service\LoginService.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 4, 13
"d:\基于web的项目管理系统\Psm\psmback\psmback-service\src\main\java\com\zz\psmback\service\ProjectService.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 3, 11
"d:\基于web的项目管理系统\Psm\psmback\psmback-service\src\main\java\com\zz\psmback\service\TaskService.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 5, 13
"d:\基于web的项目管理系统\Psm\psmback\psmback-service\src\main\java\com\zz\psmback\service\UserService.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 5, 17
"d:\基于web的项目管理系统\Psm\psmback\psmback-service\src\main\java\com\zz\psmback\service\impl\LoginServiceImpl.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 114, 0, 0, 0, 10, 7, 131
"d:\基于web的项目管理系统\Psm\psmback\psmback-service\src\main\java\com\zz\psmback\service\impl\ProjectServiceImpl.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 74, 0, 0, 0, 5, 5, 84
"d:\基于web的项目管理系统\Psm\psmback\psmback-service\src\main\java\com\zz\psmback\service\impl\TaskServiceImpl.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 124, 0, 0, 0, 0, 8, 132
"d:\基于web的项目管理系统\Psm\psmback\psmback-service\src\main\java\com\zz\psmback\service\impl\UserDetailsServiceImpl.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 46, 0, 0, 0, 0, 6, 52
"d:\基于web的项目管理系统\Psm\psmback\psmback-service\src\main\java\com\zz\psmback\service\impl\UserServiceImpl.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 89, 0, 0, 0, 0, 10, 99
"d:\基于web的项目管理系统\Psm\psmback\psmback-service\src\test\java\Atest.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 13, 0, 0, 0, 0, 5, 18
"d:\基于web的项目管理系统\Psm\psmback\psmback-web\.mvn\wrapper\maven-wrapper.properties", "Properties", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 1, 3
"d:\基于web的项目管理系统\Psm\psmback\psmback-web\mvnw.cmd", "Batch", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 118, 51, 37, 206
"d:\基于web的项目管理系统\Psm\psmback\psmback-web\pom.xml", "XML", 0, 0, 0, 0, 47, 0, 0, 0, 0, 0, 0, 0, 0, 1, 48
"d:\基于web的项目管理系统\Psm\psmback\psmback-web\src\main\java\com\zz\psmback\web\PsmbackWebApplication.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 11, 0, 0, 0, 0, 4, 15
"d:\基于web的项目管理系统\Psm\psmback\psmback-web\src\main\java\com\zz\psmback\web\controller\LoginController.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 28, 0, 0, 0, 0, 7, 35
"d:\基于web的项目管理系统\Psm\psmback\psmback-web\src\main\java\com\zz\psmback\web\controller\ProjectController.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 21, 0, 0, 0, 0, 3, 24
"d:\基于web的项目管理系统\Psm\psmback\psmback-web\src\main\java\com\zz\psmback\web\controller\TaskController.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 32, 0, 0, 0, 0, 5, 37
"d:\基于web的项目管理系统\Psm\psmback\psmback-web\src\main\java\com\zz\psmback\web\controller\UserController.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 43, 0, 0, 0, 0, 5, 48
"d:\基于web的项目管理系统\Psm\psmback\psmback-web\src\main\resources\application.yaml", "YAML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 27, 0, 0, 1, 9, 37
"d:\基于web的项目管理系统\Psm\psmback\psmback-web\src\main\resources\mapper\ProjectMapper.xml", "XML", 0, 0, 0, 0, 15, 0, 0, 0, 0, 0, 0, 0, 0, 1, 16
"d:\基于web的项目管理系统\Psm\psmback\psmback-web\src\main\resources\mapper\TaskMapper.xml", "XML", 0, 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 2, 15
"d:\基于web的项目管理系统\Psm\psmback\psmback-web\src\main\resources\mapper\TeamMapper.xml", "XML", 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 2, 7
"d:\基于web的项目管理系统\Psm\psmback\psmback-web\src\main\resources\mapper\UserMapper.xml", "XML", 0, 0, 0, 0, 31, 0, 0, 0, 0, 0, 0, 0, 0, 4, 35
"d:\基于web的项目管理系统\Psm\psmback\psmback-web\src\test\java\com\zz\psmback\web\PsmbackWebApplicationTests.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 49, 0, 0, 0, 27, 8, 84
"d:\基于web的项目管理系统\Psm\psmfront\README.md", "Markdown", 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 19
"d:\基于web的项目管理系统\Psm\psmfront\index.html", "HTML", 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 14
"d:\基于web的项目管理系统\Psm\psmfront\package-lock.json", "JSON", 0, 0, 2896, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2897
"d:\基于web的项目管理系统\Psm\psmfront\package.json", "JSON", 0, 0, 31, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 32
"d:\基于web的项目管理系统\Psm\psmfront\public\vite.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"d:\基于web的项目管理系统\Psm\psmfront\src\App.vue", "vue", 0, 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 5, 12
"d:\基于web的项目管理系统\Psm\psmfront\src\api\interface.ts", "TypeScript", 0, 0, 0, 32, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 32
"d:\基于web的项目管理系统\Psm\psmfront\src\api\login.ts", "TypeScript", 0, 0, 0, 31, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 31
"d:\基于web的项目管理系统\Psm\psmfront\src\api\project.ts", "TypeScript", 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11
"d:\基于web的项目管理系统\Psm\psmfront\src\api\task.ts", "TypeScript", 0, 0, 0, 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 17
"d:\基于web的项目管理系统\Psm\psmfront\src\api\user.ts", "TypeScript", 0, 0, 0, 41, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 44
"d:\基于web的项目管理系统\Psm\psmfront\src\components\details\demand.vue", "vue", 0, 0, 0, 0, 0, 0, 0, 148, 0, 0, 0, 0, 0, 15, 163
"d:\基于web的项目管理系统\Psm\psmfront\src\components\details\view.vue", "vue", 0, 0, 0, 0, 0, 0, 0, 96, 0, 0, 0, 0, 0, 12, 108
"d:\基于web的项目管理系统\Psm\psmfront\src\components\login.vue", "vue", 0, 0, 0, 0, 0, 0, 0, 211, 0, 0, 0, 0, 0, 35, 246
"d:\基于web的项目管理系统\Psm\psmfront\src\components\main-views\home.vue", "vue", 0, 0, 0, 0, 0, 0, 0, 169, 0, 0, 0, 0, 0, 33, 202
"d:\基于web的项目管理系统\Psm\psmfront\src\components\main-views\user.vue", "vue", 0, 0, 0, 0, 0, 0, 0, 176, 0, 0, 0, 0, 0, 22, 198
"d:\基于web的项目管理系统\Psm\psmfront\src\components\pages\file.vue", "vue", 0, 0, 0, 0, 0, 0, 0, 22, 0, 0, 0, 0, 0, 2, 24
"d:\基于web的项目管理系统\Psm\psmfront\src\components\pages\index.vue", "vue", 0, 0, 0, 0, 0, 0, 0, 13, 0, 0, 0, 0, 0, 3, 16
"d:\基于web的项目管理系统\Psm\psmfront\src\components\pages\personal.vue", "vue", 0, 0, 0, 0, 0, 0, 0, 314, 0, 0, 0, 0, 0, 33, 347
"d:\基于web的项目管理系统\Psm\psmfront\src\components\pages\project.vue", "vue", 0, 0, 0, 0, 0, 0, 0, 94, 0, 0, 0, 0, 0, 3, 97
"d:\基于web的项目管理系统\Psm\psmfront\src\components\pages\project\createProject.vue", "vue", 0, 0, 0, 0, 0, 0, 0, 124, 0, 0, 0, 0, 0, 10, 134
"d:\基于web的项目管理系统\Psm\psmfront\src\components\pages\project\details.vue", "vue", 0, 0, 0, 0, 0, 0, 0, 69, 0, 0, 0, 0, 0, 6, 75
"d:\基于web的项目管理系统\Psm\psmfront\src\components\pages\project\projectView.vue", "vue", 0, 0, 0, 0, 0, 0, 0, 81, 0, 0, 0, 0, 0, 5, 86
"d:\基于web的项目管理系统\Psm\psmfront\src\components\pages\task.vue", "vue", 0, 0, 0, 0, 0, 0, 0, 39, 0, 0, 0, 0, 0, 2, 41
"d:\基于web的项目管理系统\Psm\psmfront\src\components\pages\task\taskUpdate.vue", "vue", 0, 0, 0, 0, 0, 0, 0, 94, 0, 0, 0, 0, 0, 5, 99
"d:\基于web的项目管理系统\Psm\psmfront\src\components\pages\task\taskView.vue", "vue", 0, 0, 0, 0, 0, 0, 0, 36, 0, 0, 0, 0, 0, 6, 42
"d:\基于web的项目管理系统\Psm\psmfront\src\components\pages\team.vue", "vue", 0, 0, 0, 0, 0, 0, 0, 25, 0, 0, 0, 0, 0, 2, 27
"d:\基于web的项目管理系统\Psm\psmfront\src\components\pages\team\member.vue", "vue", 0, 0, 0, 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 4, 15
"d:\基于web的项目管理系统\Psm\psmfront\src\components\pages\team\teamView.vue", "vue", 0, 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 5, 13
"d:\基于web的项目管理系统\Psm\psmfront\src\components\register.vue", "vue", 0, 0, 0, 0, 0, 0, 0, 157, 0, 0, 0, 0, 0, 19, 176
"d:\基于web的项目管理系统\Psm\psmfront\src\css\index.css", "CSS", 0, 0, 0, 0, 0, 0, 69, 0, 0, 0, 0, 0, 0, 5, 74
"d:\基于web的项目管理系统\Psm\psmfront\src\main.ts", "TypeScript", 0, 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3, 18
"d:\基于web的项目管理系统\Psm\psmfront\src\router\index.ts", "TypeScript", 0, 0, 0, 83, 0, 0, 0, 0, 0, 0, 0, 0, 3, 1, 87
"d:\基于web的项目管理系统\Psm\psmfront\src\router\intercept.ts", "TypeScript", 0, 0, 0, 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 23
"d:\基于web的项目管理系统\Psm\psmfront\src\store\details.ts", "TypeScript", 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10
"d:\基于web的项目管理系统\Psm\psmfront\src\store\index.ts", "TypeScript", 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6
"d:\基于web的项目管理系统\Psm\psmfront\src\store\project.ts", "TypeScript", 0, 0, 0, 19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 21
"d:\基于web的项目管理系统\Psm\psmfront\src\store\step.ts", "TypeScript", 0, 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 15
"d:\基于web的项目管理系统\Psm\psmfront\src\store\user.ts", "TypeScript", 0, 0, 0, 35, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 38
"d:\基于web的项目管理系统\Psm\psmfront\src\style.css", "CSS", 0, 0, 0, 0, 0, 0, 70, 0, 0, 0, 0, 0, 0, 10, 80
"d:\基于web的项目管理系统\Psm\psmfront\src\utils\event.ts", "TypeScript", 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 6
"d:\基于web的项目管理系统\Psm\psmfront\src\utils\hasAuthority.ts", "TypeScript", 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 21, 5, 35
"d:\基于web的项目管理系统\Psm\psmfront\src\utils\request.ts", "TypeScript", 0, 0, 0, 72, 0, 0, 0, 0, 0, 0, 0, 0, 19, 6, 97
"d:\基于web的项目管理系统\Psm\psmfront\src\utils\tools.ts", "TypeScript", 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4
"d:\基于web的项目管理系统\Psm\psmfront\src\vite-env.d.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 2
"d:\基于web的项目管理系统\Psm\psmfront\tsconfig.json", "JSON with Comments", 0, 0, 0, 0, 0, 45, 0, 0, 0, 0, 0, 0, 2, 1, 48
"d:\基于web的项目管理系统\Psm\psmfront\tsconfig.node.json", "JSON", 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 13
"d:\基于web的项目管理系统\Psm\psmfront\vite.config.ts", "TypeScript", 0, 0, 0, 20, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 24
"Total", "-", 13, 14, 2944, 441, 418, 45, 139, 1894, 1314, 27, 2, 118, 262, 577, 8208
